id,commerce,date,note,avis,sentiment,themes,resume
46,Épicerie Bio Verte,2026-01-28,4,"Produits de qualité, caissière gentille, j'y vais chaque semaine.",positif,qualité|service,"Qualité excellente et personnel accueillant, visite hebdomadaire"
47,Épicerie Bio Verte,2026-02-01,2,"Légumes abîmés dans mon panier, je ne l'ai vu qu'une fois rentrée.",négatif,qualité,Légumes abîmés découverts après l'achat.
48,Épicerie Bio Verte,2026-02-06,5,Excellente sélection de produits locaux à des prix justes.,positif,prix|qualité,Bonne sélection locale avec tarifs équitables
49,Épicerie Bio Verte,2026-02-11,1,"Personnel froid, aucune aide pour trouver les produits. Et c'est hors de prix.",négatif,service|prix,Personnel froid et produits trop chers sans aide client
50,Épicerie Bio Verte,2026-02-15,3,"Magasin propre, produits corrects, rien d'exceptionnel.",neutre,qualité,"Magasin propre avec produits corrects, sans particularité."
51,Épicerie Bio Verte,2026-02-19,4,Le pain bio et les œufs sont excellents. Horaires un peu restreints.,positif,qualité|service,"Excellente qualité, horaires limités."
52,Épicerie Bio Verte,2026-02-24,2,"On m'a facturé deux fois le même article, la caissière n'a pas voulu vérifier.",négatif,service|prix,Double facturation refusée de vérification par la caissière
53,Épicerie Bio Verte,2026-03-03,5,"Accueil adorable, conseils précieux, et les promotions de fin de journée sont top.",positif,service|prix,"Accueil adorable et conseils précieux, promotions attrayantes."
54,Épicerie Bio Verte,2026-03-08,3,Qualité au rendez-vous mais mon budget ne suit pas.,neutre,qualité|prix,Bonne qualité mais prix trop élevés pour le budget
55,Épicerie Bio Verte,2026-03-12,1,Viande sous vide avec une odeur bizarre. Je n'y achète plus de produits frais.,négatif,qualité,"Viande sous vide avec odeur suspecte, arrêt achat produits frais"
56,Épicerie Bio Verte,2026-03-16,4,"Très bonne épicerie de quartier, le personnel connaît ses produits.",positif,service|qualité,Excellente épicerie avec personnel compétent et connaisseur.
57,Épicerie Bio Verte,2026-03-21,2,Le programme fidélité ne compense pas des prix 30 % plus chers qu'ailleurs.,négatif,prix,Programme fidélité insuffisant face aux prix élevés
58,Épicerie Bio Verte,2026-03-26,5,Fraîcheur irréprochable et équipe très serviable.,positif,qualité|service,Fraîcheur impeccable et équipe serviable
59,Épicerie Bio Verte,2026-03-28,3,"Bons produits, mais attente en caisse trop longue le samedi.",neutre,service|qualité,"Bons produits, mais attente caisse trop longue."
60,Épicerie Bio Verte,2026-03-30,4,"J'apprécie la qualité, même si certains prix piquent un peu.",positif,qualité|prix,Bonne qualité malgré tarifs élevés
