id,model,sentiment,themes,input_tokens,output_tokens,latency_s,sentiment_ref,themes_ref
9,claude-sonnet-5,négatif,prix,663,54,2.042007042095065,négatif,prix
10,claude-sonnet-5,positif,qualité|service,660,51,2.099180500023067,positif,service
11,claude-sonnet-5,neutre,qualité,657,49,1.8677642913535237,neutre,qualité
12,claude-sonnet-5,négatif,service,656,46,1.9705646252259612,négatif,service
13,claude-sonnet-5,positif,prix|qualité,652,52,1.676942708902061,positif,prix|qualité
14,claude-sonnet-5,négatif,qualité|service,667,52,1.6408572080545127,négatif,qualité|service
15,claude-sonnet-5,positif,qualité,659,50,2.0433202921412885,positif,qualité
16,claude-sonnet-5,négatif,qualité|service,664,51,1.9401873745955527,neutre,qualité|service
17,claude-sonnet-5,négatif,prix,658,48,1.9396009580232203,négatif,prix
18,claude-sonnet-5,positif,qualité|service,649,47,2.008887250442058,positif,qualité|service
19,claude-sonnet-5,négatif,qualité,657,48,1.7742914156988263,négatif,qualité
20,claude-sonnet-5,positif,qualité|service,662,53,1.6120517496019602,positif,qualité|service
21,claude-sonnet-5,positif,qualité|service,669,60,2.056072083301842,positif,qualité|service
22,claude-sonnet-5,négatif,service,660,43,1.8259576670825481,négatif,service
23,claude-sonnet-5,positif,prix|qualité,660,48,1.9483984587714076,positif,prix|qualité
24,claude-sonnet-5,négatif,qualité|service,663,53,2.095142832957208,négatif,qualité|service
25,claude-sonnet-5,négatif,prix|qualité,665,55,2.0343846660107374,neutre,prix|qualité
26,claude-sonnet-5,positif,prix|qualité,666,55,1.6250259997323155,positif,prix|qualité
27,claude-sonnet-5,négatif,service,659,46,1.894326166715473,négatif,service
28,claude-sonnet-5,positif,qualité|service,653,47,1.795760250184685,positif,qualité|service
29,claude-sonnet-5,négatif,prix|qualité|service,665,56,1.5998455830849707,négatif,prix|qualité|service
30,claude-sonnet-5,négatif,prix|qualité,651,48,1.8976997500285506,neutre,prix|qualité
31,claude-sonnet-5,positif,qualité|service,663,54,1.8014921247959137,positif,qualité|service
32,claude-sonnet-5,négatif,service,658,48,1.9055727501399815,négatif,service
33,claude-sonnet-5,positif,qualité,662,58,2.06951762503013,positif,qualité
34,claude-sonnet-5,négatif,qualité|service,660,57,1.8920277915894985,négatif,qualité|service
35,claude-sonnet-5,positif,qualité|service,660,49,1.8512626248411834,positif,qualité|service
36,claude-sonnet-5,neutre,qualité|service,650,49,1.9713325412012637,neutre,qualité|service
37,claude-sonnet-5,négatif,prix,651,44,1.8614400839433074,négatif,prix
38,claude-sonnet-5,positif,prix|qualité|service,664,55,1.8101999997161329,positif,prix|qualité|service
39,claude-sonnet-5,négatif,service,659,48,1.9569665412418544,négatif,service
40,claude-sonnet-5,positif,prix|qualité|service,658,48,1.5621365825645626,positif,prix|qualité|service
41,claude-sonnet-5,positif,prix|qualité,668,52,1.88263566698879,positif,prix|qualité
42,claude-sonnet-5,négatif,qualité|service,660,50,1.8159993342123926,négatif,qualité|service
43,claude-sonnet-5,positif,qualité|service,658,50,1.57804304221645,positif,service
44,claude-sonnet-5,négatif,prix,658,44,1.621254833880812,négatif,prix
45,claude-sonnet-5,neutre,qualité,653,52,1.713256083894521,neutre,qualité
46,claude-sonnet-5,positif,qualité|service,658,51,1.9932803330011666,positif,qualité|service
47,claude-sonnet-5,négatif,qualité,666,48,1.9756857920438051,négatif,qualité
48,claude-sonnet-5,positif,prix|qualité,651,50,1.7795938751660287,positif,prix|qualité
49,claude-sonnet-5,négatif,prix|service,663,51,2.088396499864757,négatif,prix|service
50,claude-sonnet-5,neutre,qualité,655,50,1.9442663327790797,neutre,qualité
51,claude-sonnet-5,positif,qualité|service,659,48,1.979686750099063,positif,qualité
52,claude-sonnet-5,négatif,prix|service,663,53,1.9653491252101958,négatif,prix|service
53,claude-sonnet-5,positif,prix|service,661,58,1.898851958103478,positif,prix|service
54,claude-sonnet-5,neutre,prix|qualité,655,55,1.8155366252176464,neutre,prix|qualité
55,claude-sonnet-5,négatif,qualité,664,54,1.9321883749216795,négatif,qualité
56,claude-sonnet-5,positif,qualité|service,657,50,2.2667939588427544,positif,qualité|service
57,claude-sonnet-5,négatif,prix,665,47,1.7677682503126562,négatif,prix
58,claude-sonnet-5,positif,qualité|service,652,43,1.5794413746334612,positif,qualité|service
59,claude-sonnet-5,neutre,qualité|service,654,49,1.4510242501273751,neutre,qualité|service
60,claude-sonnet-5,positif,prix|qualité,655,49,1.9129876247607172,positif,prix|qualité
1,claude-opus-5,positif,qualité|service,669,49,2.2217272082343698,positif,qualité|service
2,claude-opus-5,négatif,prix|qualité,669,50,1.4219234590418637,négatif,prix|qualité
3,claude-opus-5,positif,qualité|service,669,56,2.2288466659374535,positif,qualité|service
4,claude-opus-5,négatif,service,672,47,2.2212192080914974,négatif,service
5,claude-opus-5,neutre,prix|qualité,659,50,2.5894367080181837,neutre,prix
6,claude-opus-5,positif,prix|qualité,664,56,2.221851292066276,positif,prix|qualité
7,claude-opus-5,négatif,qualité,669,56,2.470123666804284,négatif,qualité
8,claude-opus-5,positif,qualité|service,665,57,1.9426608746871352,positif,qualité|service
9,claude-opus-5,négatif,prix,663,60,2.6581640001386404,négatif,prix
10,claude-opus-5,positif,service,660,47,1.4780241246335208,positif,service
11,claude-opus-5,neutre,qualité,657,50,2.1048761662095785,neutre,qualité
12,claude-opus-5,négatif,service,656,53,2.207914082799107,négatif,service
13,claude-opus-5,positif,prix|qualité,652,47,1.3644316247664392,positif,prix|qualité
14,claude-opus-5,négatif,qualité|service,667,58,2.426696666982025,négatif,qualité|service
15,claude-opus-5,positif,qualité|service,659,46,2.139889500103891,positif,qualité
16,claude-opus-5,neutre,qualité|service,664,47,2.2124139587394893,neutre,qualité|service
17,claude-opus-5,négatif,prix|qualité,658,51,1.7495349580422044,négatif,prix
18,claude-opus-5,positif,qualité|service,649,47,2.150018624961376,positif,qualité|service
19,claude-opus-5,négatif,qualité,657,53,2.0951097919605672,négatif,qualité
20,claude-opus-5,positif,qualité|service,662,50,1.4733462501317263,positif,qualité|service
21,claude-opus-5,positif,qualité|service,669,55,2.170915875118226,positif,qualité|service
22,claude-opus-5,négatif,service,660,47,1.7104985830374062,négatif,service
23,claude-opus-5,positif,prix|qualité,660,52,1.8751809997484088,positif,prix|qualité
24,claude-opus-5,négatif,qualité|service,663,53,1.5487209167331457,négatif,qualité|service
25,claude-opus-5,neutre,prix|qualité,665,52,2.145686207804829,neutre,prix|qualité
26,claude-opus-5,positif,prix|qualité,666,56,1.5858013331890106,positif,prix|qualité
27,claude-opus-5,négatif,service,659,51,2.4247689582407475,négatif,service
28,claude-opus-5,positif,qualité|service,653,52,4.954824999906123,positif,qualité|service
29,claude-opus-5,négatif,prix|qualité|service,665,52,1.536248333286494,négatif,prix|qualité|service
30,claude-opus-5,neutre,prix|qualité,651,49,1.4286554581485689,neutre,prix|qualité
31,claude-opus-5,positif,qualité|service,663,60,2.2626828751526773,positif,qualité|service
32,claude-opus-5,négatif,service,658,43,2.215806541033089,négatif,service
33,claude-opus-5,positif,qualité|service,662,58,1.5101095419377089,positif,qualité
34,claude-opus-5,négatif,qualité|service,660,56,1.659502458292991,négatif,qualité|service
35,claude-opus-5,positif,qualité|service,660,49,5.153713040985167,positif,qualité|service
36,claude-opus-5,neutre,qualité|service,650,53,4.439619957935065,neutre,qualité|service
37,claude-opus-5,négatif,prix,651,42,1.5495140422135592,négatif,prix
38,claude-opus-5,positif,prix|qualité|service,664,60,2.358697417192161,positif,prix|qualité|service
39,claude-opus-5,négatif,service,659,63,1.5285912919789553,négatif,service
40,claude-opus-5,positif,prix|qualité|service,658,50,1.5624581249430776,positif,prix|qualité|service
41,claude-opus-5,positif,prix|qualité,668,55,2.1445956667885184,positif,prix|qualité
42,claude-opus-5,négatif,qualité|service,660,98,1.8391490411013365,négatif,qualité|service
43,claude-opus-5,positif,qualité|service,658,49,1.4894013330340385,positif,service
44,claude-opus-5,négatif,prix,658,44,1.4764785831794143,négatif,prix
45,claude-opus-5,neutre,qualité|service,653,55,2.161356082651764,neutre,qualité
46,claude-opus-5,positif,qualité|service,658,56,1.509264708030969,positif,qualité|service
47,claude-opus-5,négatif,qualité,666,48,1.9338946673087776,négatif,qualité
48,claude-opus-5,positif,prix|qualité,651,45,1.6493597496300936,positif,prix|qualité
49,claude-opus-5,négatif,prix|service,663,55,1.6079551656730473,négatif,prix|service
50,claude-opus-5,neutre,qualité,655,47,1.4968281253241003,neutre,qualité
51,claude-opus-5,positif,qualité|service,659,53,1.7145814169198275,positif,qualité
52,claude-opus-5,négatif,prix|service,663,47,1.9694769997149706,négatif,prix|service
53,claude-opus-5,positif,prix|qualité|service,661,58,2.5507682082243264,positif,prix|service
54,claude-opus-5,neutre,prix|qualité,655,54,1.512717790901661,neutre,prix|qualité
55,claude-opus-5,négatif,qualité,664,52,1.53974933270365,négatif,qualité
56,claude-opus-5,positif,qualité|service,657,53,1.5354403746314347,positif,qualité|service
57,claude-opus-5,négatif,prix,665,50,1.5341450828127563,négatif,prix
58,claude-opus-5,positif,qualité|service,652,44,1.4802874578163028,positif,qualité|service
59,claude-opus-5,neutre,qualité|service,654,53,2.1808745418675244,neutre,qualité|service
60,claude-opus-5,positif,prix|qualité,655,48,2.0956272915937006,positif,prix|qualité
